sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord,longitude,latitude
동대문구,제기경로당,서울특별시 동대문구 경동시장로23길 14,노인시설,20,09:00~18:00,203486.4303,554021.5404,127.03947308859597,37.585745285290734
동대문구,전농1동경로당,서울특별시 동대문구 전농로27길 81,노인시설,15,09:00~18:00,204605.3823,553254.7664,127.05213695254616,37.57883178765464
동대문구,청송경로당,서울특별시 동대문구 전농로17길 19-8,노인시설,20,09:00~18:00,204905.1452,553238.7707,127.05553042210589,37.5786861198209
동대문구,화목경로당,서울특별시 동대문구 전농로31길 33,노인시설,10,09:00~18:00,204560.5173,553708.5402,127.05163186504127,37.582920482820555
동대문구,중산경로당,서울특별시 동대문구 답십리로48길 54,노인시설,20,09:00~18:00,205089.574,552314.2146,127.05761189450806,37.57035492170821
동대문구,미나리경로당,서울특별시 동대문구 천호대로87길 43,노인시설,20,09:00~18:00,206016.3019,551589.1451,127.06809612146957,37.56381649481633
동대문구,샛별경로당,서울특별시 동대문구 장한로17길 20,노인시설,10,09:00~18:00,205962.6964,552037.0364,127.06749302339615,37.56785232335135
동대문구,안골경로당,서울특별시 동대문구 천호대로77다길 20,노인시설,15,09:00~18:00,205688.0516,551749.5358,127.06438203311399,37.565263692555106
동대문구,근린경로당,서울특별시 동대문구 장한로 191,노인시설,10,09:00~18:00,206308.5938,553115.6718,127.07141758639573,37.57756846360554
동대문구,늘봄경로당,서울특별시 동대문구 장한로26나길 6,노인시설,20,09:00~18:00,206413.6104,552424.1713,127.07260039638382,37.57133736027783
동대문구,장평경로당,서울특별시 동대문구 한천로28길 27,노인시설,15,09:00~18:00,206047.2317,552636.4518,127.06845483848994,37.57325247336349
동대문구,회기동경로당,서울특별시 동대문구 이문로3길 54,노인시설,15,09:00~18:00,204596.5169,554572.7991,127.05204485544257,37.59070721148594
동대문구,아름경로당,서울특별시 동대문구 휘경동 119-35,노인시설,20,09:00~18:00,206038.1567,554869.726,127.06837050873206,37.593374171264074
동대문구,수복경로당,서울특별시 동대문구 망우로6길 24,노인시설,15,09:00~18:00,204910.6825,554123.6558,127.05559903791854,37.58665884360687
동대문구,휘경2동경로당,서울특별시 동대문구 망우로20가길 34-6,노인시설,20,09:00~18:00,205722.6469,554511.8134,127.0647951735128,37.590151424471514
동대문구,진성경로당,서울특별시 동대문구 이문로16길 19,노인시설,10,09:00~18:00,205275.2071,554975.3121,127.05973233722926,37.59433018082153
동대문구,신이문경로당,서울특별시 동대문구 신이문로8길 32,노인시설,20,09:00~18:00,205597.2293,555772.0025,127.06338475270418,37.601506384749825
중랑구,망우3동주민센터,서울특별시 중랑구 겸재로61길 40,주민센터,20,09:00~18:00,208386.5498,554708.6207,127.0949596697009,37.591904229152796
중랑구,망우본동주민센터,서울특별시 중랑구 망우로67길 10,주민센터,50,09:00~18:00,208964.4644,555671.8774,127.10151509227063,37.600577629705384
중랑구,면목2동주민센터,서울특별시 중랑구 동일로101길 20-15 ,주민센터,20,09:00~18:00,206979.8293,554470.8012,127.0790293299491,37.58977323568143
중랑구,면목3.8동주민센터,서울특별시 중랑구 사가정로51길 48,주민센터,50,09:00~18:00,207778.8553,553714.9909,127.08806829360886,37.5829570424704
중랑구,면목4동주민센터,서울특별시 중랑구 면목로 246,주민센터,20,09:00~18:00,207562.0855,552797.5486,127.08560467316967,37.57469275648243
중랑구,면목5동주민센터,서울특별시 중랑구 동일로 619 ,주민센터,30,09:00~18:00,207021.4763,554026.7751,127.07949662404735,37.5857722801362
중랑구,면목7동주민센터,서울특별시 중랑구 면목로36길 4,주민센터,50,09:00~18:00,207602.3131,553137.5544,127.08606358469484,37.57775585536157
중랑구,면목본동주민센터,서울특별시 중랑구 면목로 397,주민센터,70,09:00~18:00,207731.8865,554197.7921,127.08754163091656,37.587307438425185
중랑구,묵1동주민센터,서울특별시 중랑구 공릉로2가길 5,주민센터,30,09:00~18:00,206929.3131,556983.1319,127.07848113347461,37.61240946094611
중랑구,묵2동주민센터,서울특별시 중랑구 중랑역로 181 2층,주민센터,15,09:00~18:00,206699.531,556665.7806,127.07587572744474,37.60955186473843
중랑구,상봉1동주민센터,서울특별시 중랑구 상봉중앙로1길 6,주민센터,15,09:00~18:00,207696.7688,555587.1443,127.0871586214232,37.59982566768725
중랑구,상봉2동주민센터,서울특별시 중랑구 동일로114길 10,주민센터,40,09:00~18:00,207140.7749,554824.6767,127.08085508903233,37.59296038879691
중랑구,신내1동주민센터,서울특별시 중랑구 용마산로129나길 35,주민센터,15,09:00~18:00,208785.1655,556265.1115,127.09949180247845,37.60592433244189
중랑구,신내2동주민센터,서울특별시 중랑구 봉화산로 190,주민센터,20,09:00~18:00,208315.0217,556301.0291,127.09416784921426,37.606252314402234
중랑구,중화1동주민센터,서울특별시 중랑구 동일로134길 17,주민센터,50,09:00~18:00,207123.2046,555735.4309,127.08066499835432,37.60116633266231
중랑구,중화2동주민센터,서울특별시 중랑구 동일로129길 1 5층,주민센터,50,09:00~18:00,207024.9688,555539.3136,127.07955067050811,37.59940009064835
성북구,스마트에코쉼터,서울특별시 성북구 정릉로 367-2,기타,10,09:00~18:00,202125.1142,555855.5987,127.0240656977131,37.60227414555224
강북구,미동경로당,서울특별시 강북구 삼양로74길 74,노인시설,30,09:00~18:00,201941.77,558948.5466,127.02199763805521,37.63014164876193
강북구,샛강경로당,서울특별시 강북구 도봉로 96나길 9-1(번동),노인시설,30,09:00~18:00,202859.8709,559937.4076,127.03240235154733,37.63904874440926
강북구,솔샘길경로당,서울특별시 강북구 솔샘로 277-1(미아동),노인시설,40,09:00~18:00,202069.736,557695.8319,127.02344377538016,37.61885457296132
강북구,오동경로당,서울특별시 강북구 오현로 25나길 92(번동),노인시설,60,09:00~18:00,202935.9094,558451.4663,127.03325790100884,37.625660385690985
도봉구,도봉동노인복지센터,서울특별시 도봉구 도봉로169가길 52,복지회관,12,09:00~18:00,203842.9048,564721.123,127.04356530719141,37.682145540588756
도봉구,방아골종합사회복지관,서울특별시 도봉구 시루봉로17길 42,복지회관,25,09:00~18:00,202875.7923,563295.5414,127.03259596421947,37.66930488883595
도봉구,방학동노인복지센터,서울특별시 도봉구 시루봉로15라길 59-9,복지회관,9,09:00~18:00,202840.3847,563435.8224,127.03219517918822,37.670568902785554
노원구,공릉1동주민센터,서울특별시 노원구 동일로186길 3-24,주민센터,10,09:00~18:00,206512.1708,558350.8582,127.07376877373346,37.624735547731554
노원구,공릉2동주민센터,서울특별시 노원구 노원로1길 68,주민센터,10,09:00~18:00,207362.9192,557969.4889,127.08340206057015,37.62129304401212
노원구,상계10동주민센터,서울특별시 노원구 노원로 530,주민센터,10,09:00~18:00,205316.5035,562404.2271,127.0602539541082,37.66126343283989
노원구,상계1동주민센터,서울특별시 노원구 동일로 1697,주민센터,10,09:00~18:00,204847.114,564473.9891,127.05494793479464,37.67991416374718
노원구,상계2동주민센터,서울특별시 노원구 상계로 118,주민센터,10,09:00~18:00,205987.042,561984.7089,127.06784997711146,37.65747952648424
노원구,상계3.4동주민센터,서울특별시 노원구 덕릉로 859,주민센터,10,09:00~18:00,207342.804,563697.678,127.08323178111664,37.672903195670735
노원구,상계5동주민센터,서울특별시 노원구 한글비석로 434,주민센터,10,09:00~18:00,206118.3719,562588.1985,127.06934336946746,37.662915987369445
노원구,상계6.7동주민센터,서울특별시 노원구 노원로 429,주민센터,10,09:00~18:00,205907.9686,561694.4225,127.06695150580327,37.654864611427115
노원구,상계8동주민센터,서울특별시 노원구 동일로227길 97,주민센터,10,09:00~18:00,204548.6293,563012.24,127.05155513620439,37.66674563580801
노원구,상계9동주민센터,서울특별시 노원구 한글비석로 487,주민센터,10,09:00~18:00,205631.1595,562768.3786,127.06382287710154,37.66454249185364
노원구,월계1동주민센터,서울특별시 노원구 석계로 59,주민센터,10,09:00~18:00,205550.8743,557822.9166,127.0628753691592,37.61998516854905
노원구,월계2동주민센터,서울특별시 노원구 초안산로5길 28,주민센터,10,09:00~18:00,204482.8836,559213.8826,127.0507866510356,37.63252340946525
노원구,월계3동주민센터,서울특별시 노원구 마들로 57,주민센터,10,09:00~18:00,206111.2241,557937.0657,127.06922346305153,37.62101008449807
노원구,중계1동주민센터,서울특별시 노원구 한글비석로 279,주민센터,10,09:00~18:00,206835.6985,561436.3936,127.07746249555271,37.65253338266326
노원구,중계2.3동주민센터,서울특별시 노원구 노원로17길 56,주민센터,10,09:00~18:00,206065.7165,560282.4056,127.06872744396895,37.6421415545533
노원구,중계4동주민센터,서울특별시 노원구 덕릉로82길 50,주민센터,10,09:00~18:00,206880.3303,562129.406,127.07797479425683,37.65877696278967
노원구,중계본동주민센터,서울특별시 노원구 중계로 143,주민센터,10,09:00~18:00,207085.3778,560914.2021,127.0802868069503,37.647826638078456
노원구,하계1동주민센터,서울특별시 노원구 노원로 261,주민센터,10,09:00~18:00,206404.4581,560105.7351,127.07256399587781,37.640547483742196
노원구,하계2동주민센터,서울특별시 노원구 공릉로55길 88,주민센터,10,09:00~18:00,205998.6978,559161.4857,127.06795889173698,37.63204267974225
은평구,갈현어버이경로당,서울특별시 은평구 통일로89길 12-6,노인시설,30,09:00~18:00,192821.1028,558367.7806,126.91867850248067,37.62488305286683
은평구,구산거북경로당,서울특별시 은평구 연서로13길 29-7,노인시설,30,09:00~18:00,192299.3529,556686.0397,126.91278590202278,37.60972656247793
은평구,역촌노인복지관,서울특별시 은평구 연서로3나길 11-30,복지회관,30,09:00~18:00,192173.7589,555977.6151,126.91137105550385,37.603342676788124
서대문구,연세로명물거리버스정류소스마트쉼터1,서울특별시 서대문구 연세로 26-1,기타,10,09:00~18:00,194444.0197,550942.6744,126.9371189675003,37.5579947080979
