sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord
영등포구,대림1동공립작은도서관,서울특별시 영등포구 디지털로441,작은도서관,24,09:00~18:00,191671.8916,544002.1584
영등포구,문래초등학교,서울특별시 영등포구 문래로 104,학교,21,09:00~18:00,190594.2299,546632.651
동작구,흑석역미세먼지안심스마트쉼터,서울특별시 동작구 현충로 90,기타,8,09:00~18:00,196785.2115,545512.5712
동작구,이수역미세먼지안심스마트쉼터,서울특별시 동작구 사당로 310,기타,12,09:00~18:00,198384.7869,542868.1127
동작구,이수힐스테이트앞미세먼지안심스마트쉼터,서울특별시 동작구 동작동 66-29,기타,8,09:00~18:00,198466.6252,543926.7911
관악구,국지경로당,서울특별시 관악구 국회단지21길 14,노인시설,80,09:00~18:00,194830.7918,543427.5685
관악구,신림종합사회복지관,서울특별시 관악구 난곡로 110,복지회관,300,09:00~18:00,192908.0985,540606.7815
관악구,신본경로당,서울특별시 관악구 남부순환로200다길 7,노인시설,80,09:00~18:00,194393.5817,542570.6295
서초구,반포2동주민센터,서울특별시 서초구 신반포로15길 16,주민센터,30,09:00~18:00,199511.1897,545013.0598
서초구,방배2동주민센터,서울특별시 서초구  청두곶길 36,주민센터,30,09:00~18:00,198721.8316,542257.4515
서초구,양재1동주민센터,서울특별시 서초구 바우뫼로 41,주민센터,30,09:00~18:00,202359.2853,541358.939
강남구,강남구청버스정류장그린스마트쉼터1,서울특별시 강남구 학동로 426,기타,10,24시간,204189.2955,546427.7235
강남구,강남구청버스정류장그린스마트쉼터2,서울특별시 강남구 학동로 425,기타,10,24시간,204154.0543,546576.4692
강남구,강남구청역버스정류장그린스마트쉼터1,서울특별시 강남구 학동로 337,기타,10,24시간,203529.8548,546399.6378
강남구,강남구청역버스정류장그린스마트쉼터2,서울특별시 강남구 학동로 338,기타,10,24시간,203598.6032,546331.4975
강남구,"논현동사거리,학동역버스정류장그린스마트쉼터",서울특별시 강남구 학동로 171,기타,10,24시간,202608.2467,546065.0633
강남구,농협앞버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 443,기타,10,24시간,203929.4309,547186.7284
강남구,도산공원사거리버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 303,기타,10,24시간,203045.0196,546957.4484
강남구,"서울상록회관,한국기술센터버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 305,기타,10,24시간,203871.3256,544875.8102
강남구,선릉역버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 413,기타,10,24시간,204534.2955,545124.7799
강남구,선릉역버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 408,기타,10,24시간,204455.2485,545001.1557
강남구,세관앞버스정류장그린스마트쉼터,서울특별시 강남구 학동로 308,기타,10,24시간,203217.8283,546217.8521
강남구,신사동고개버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 157,기타,10,24시간,202267.7685,546616.2816
강남구,신사동고개버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 158,기타,10,24시간,202304.7038,546556.8435
강남구,신사동교회버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 217,기타,10,24시간,202701.5121,546815.9806
강남구,신사역1번출구버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 120,기타,10,24시간,201933.3523,546360.9353
강남구,신사역8번출구버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 125,기타,10,24시간,201950.3542,546453.6574
강남구,씨네시티앞버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 327,기타,10,24시간,203324.9496,547072.5653
강남구,"아가방빌딩,하나은행버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 207,기타,10,24시간,203423.8873,544695.3204
강남구,언북중학교입구버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 218,기타,10,24시간,202726.1886,546743.7406
강남구,"역삼역,포스코타워역삼버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 134,기타,10,24시간,202989.1697,544435.5441
강남구,영동119안전센터버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 332,기타,10,24시간,203380.0518,547006.4906
강남구,영동시장버스정류장그린스마트쉼터,서울특별시 강남구 학동로 106,기타,10,24시간,202006.5789,545726.3567
